"";"NUMID";"VPDIF";"SEGM";"NETWDIF";"REVDIF";"SPINDIF";"INTCULT";"CP";"BP";"BAL";"NOBP";"NOCP";"BOTHLOW"
"121";121;0,876;0,95;0,726;0,95;0,019;0,921;0,847;0,786;0.786;0.214;0.153;0.153
"122";122;0,498;0,95;0,498;0,498;0,95;0,95;0,675;0,498;0.498;0.502;0.325;0.325
"123";123;0,726;0,876;0,95;0,95;0,019;0,498;0,378;0,657;0.378;0.343;0.622;0.343
"124";124;0,498;0,05;0,876;0,498;0,019;0,498;0,498;0,498;0.498;0.498;0.498;0.502
"125";125;0,876;0,95;0,95;0,95;0,95;0,95;0,378;0,123;0.123;0.378;0.123;0.622
"126";126;0,726;0,498;0,123;0,271;0,123;0,378;0,772;0,498;0.498;0.502;0.228;0.228
"127";127;0,876;0,95;0,271;0,498;0,95;0,876;0,847;0,498;0.498;0.502;0.153;0.153
"128";128;0,498;0,876;0,123;0,95;0,019;0,921;0,876;0,726;0.726;0.274;0.124;0.124
"129";129;0,876;0,498;0,123;0,05;0,019;0,813;0,726;0,271;0.271;0.726;0.271;0.274
"130";130;0,876;0,876;0,498;0,498;0,019;0,876;0,498;0,271;0.271;0.498;0.271;0.502
"131";131;0,271;0,726;0,498;0,123;0,726;0,498;0,498;0,498;0.498;0.498;0.498;0.502
"132";132;0,05;0,05;0,05;0,05;0,019;0,95;0,618;0,123;0.123;0.618;0.123;0.382
"133";133;0,498;0,498;0,271;0,271;0,019;0,813;0,559;0,271;0.271;0.559;0.271;0.441
"134";134;0,876;0,726;0,123;0,726;0,019;0,813;0,95;0,657;0.657;0.343;0.05;0.05
"135";135;0,95;0,95;0,726;0,95;0,95;0,921;0,937;0,498;0.498;0.502;0.063;0.063
"136";136;0,498;0,876;0,498;0,123;0,019;0,921;0,498;0,212;0.212;0.498;0.212;0.502
"137";137;0,726;0,95;0,123;0,876;0,95;0,876;0,675;0,786;0.675;0.214;0.325;0.214
"138";138;0,498;0,123;0,05;0,05;0,019;0,876;0,876;0,876;0.876;0.124;0.124;0.124
"139";139;0,876;0,95;0,271;0,876;0,019;0,876;0,378;0,786;0.378;0.214;0.622;0.214
"140";140;0,271;0,876;0,498;0,876;0,123;0,921;0,847;0,34;0.34;0.66;0.153;0.153
"141";141;0,95;0,498;0,95;0,876;0,95;0,813;0,876;0,271;0.271;0.729;0.124;0.124
"142";142;0,726;0,95;0,123;0,876;0,019;0,813;0,271;0,162;0.162;0.271;0.162;0.729
"143";143;0,123;0,271;0,271;0,123;0,498;0,813;0,921;0,786;0.786;0.214;0.079;0.079
"144";144;0,726;0,726;0,726;0,123;0,019;0,726;0,772;0,876;0.772;0.124;0.228;0.124
"145";145;0,876;0,726;0,498;0,876;0,019;0,378;0,559;0,578;0.559;0.422;0.441;0.422
"146";146;0,95;0,726;0,726;0,95;0,95;0,921;0,813;0,726;0.726;0.274;0.187;0.187
"147";147;0,498;0,876;0,123;0,123;0,726;0,876;0,559;0,498;0.498;0.502;0.441;0.441
"148";148;0,05;0,726;0,271;0,05;0,019;0,876;0,95;0,498;0.498;0.502;0.05;0.05
"149";149;0,498;0,271;0,726;0,726;0,498;0,498;0,271;0,05;0.05;0.271;0.05;0.729
"150";150;0,95;0,876;0,876;0,876;0,019;0,498;0,226;0,212;0.212;0.226;0.212;0.774
"151";151;0,498;0,726;0,876;0,726;0,95;0,726;0,675;0,498;0.498;0.502;0.325;0.325
"152";152;0,498;0,05;0,05;0,05;0,019;0,618;0,772;0,726;0.726;0.274;0.228;0.228
"153";153;0,271;0,726;0,271;0,498;0,726;0,378;0,726;0,418;0.418;0.582;0.274;0.274
"154";154;0,498;0,498;0,95;0,498;0,019;0,618;0,847;0,578;0.578;0.422;0.153;0.153
"155";155;0,876;0,95;0,726;0,498;0,019;0,95;0,772;0,498;0.498;0.502;0.228;0.228
"156";156;0,95;0,95;0,498;0,876;0,019;0,726;0,726;0,418;0.418;0.582;0.274;0.274
"157";157;0,123;0,95;0,05;0,498;0,019;0,618;0,95;0,95;0.95;0.05;0.05;0.05
"158";158;0,95;0,123;0,95;0,123;0,019;0,95;0,772;0,498;0.498;0.502;0.228;0.228
"159";159;0,05;0,05;0,05;0,123;0,019;0,05;0,559;0,34;0.34;0.559;0.34;0.441
"160";160;0,95;0,95;0,876;0,95;0,019;0,95;0,813;0,498;0.498;0.502;0.187;0.187
"161";161;0,271;0,05;0,498;0,498;0,876;0,813;0,675;0,95;0.675;0.05;0.325;0.05
"162";162;0,876;0,95;0,123;0,95;0,019;0,921;0,772;0,657;0.657;0.343;0.228;0.228
"163";163;0,123;0,271;0,05;0,876;0,019;0,378;0,675;0,837;0.675;0.163;0.325;0.163
"164";164;0,05;0,05;0,05;0,05;0,019;0,876;0,498;0,123;0.123;0.498;0.123;0.502
"165";165;0,123;0,876;0,876;0,726;0,019;0,95;0,937;0,837;0.837;0.163;0.063;0.063
"166";166;0,876;0,95;0,271;0,876;0,019;0,813;0,378;0,418;0.378;0.378;0.418;0.582
"167";167;0,123;0,726;0,271;0,726;0,019;0,271;0,559;0,498;0.498;0.502;0.441;0.441
"168";168;0,123;0,123;0,123;0,876;0,876;0,726;0,618;0,657;0.618;0.343;0.382;0.343
"169";169;0,498;0,271;0,726;0,726;0,019;0,271;0,378;0,498;0.378;0.378;0.498;0.502
"170";170;0,123;0,726;0,498;0,726;0,019;0,726;0,847;0,95;0.847;0.05;0.153;0.05
"171";171;0,123;0,05;0,05;0,05;0,95;0,876;0,95;0,657;0.657;0.343;0.05;0.05
"172";172;0,726;0,05;0,876;0,726;0,95;0,813;0,726;0,498;0.498;0.502;0.274;0.274
"173";173;0,498;0,876;0,05;0,726;0,019;0,378;0,498;0,418;0.418;0.498;0.418;0.502
"174";174;0,726;0,726;0,498;0,123;0,019;0,726;0,618;0,162;0.162;0.618;0.162;0.382
"175";175;0,876;0,05;0,876;0,726;0,019;0,813;0,813;0,786;0.786;0.214;0.187;0.187
"176";176;0,876;0,95;0,95;0,95;0,019;0,95;0,901;0,726;0.726;0.274;0.099;0.099
"177";177;0,95;0,95;0,05;0,498;0,95;0,813;0,95;0,837;0.837;0.163;0.05;0.05
"178";178;0,05;0,498;0,05;0,95;0,019;0,726;0,901;0,418;0.418;0.582;0.099;0.099
"179";179;0,05;0,876;0,726;0,726;0,019;0,813;0,726;0,498;0.498;0.502;0.274;0.274
